phase,strategy,model,accuracy,f1_score,notes
Capstone 1 - Phase 4,Baseline,Logistic Regression,0.6460,0.6447,No augmentation
Capstone 1 - Phase 4,Baseline,SVM (linear),0.6094,0.6095,No augmentation
Capstone 1 - Phase 5,Back-Translation,Logistic Regression,0.6545,0.6379,BT degrades structural features
Capstone 1 - Phase 5,Back-Translation,SVM (linear),0.6197,0.6432,BT degrades structural features
Capstone 1 - Phase 5,Synonym Replacement,Logistic Regression,0.8245,0.8390,Capstone 1 best model
Capstone 1 - Phase 5,Synonym Replacement,SVM (linear),0.8062,0.8062,
Capstone 2 - Phase 6,SR + Optimized,Random Forest (n=250),0.9269,0.9265,Deduplicated test set; validated 93.0%
Capstone 2 - Phase 10,Hybrid BERT,BERT-only RF (768-dim CLS),0.8446,0.8402,Frozen DistilBERT only
Capstone 2 - Phase 10,Hybrid BERT,Hybrid RF (BERT + top-20 stylometric),0.8486,0.8436,Best generalizing model
Capstone 2 - Phase 10,Hybrid BERT,Hybrid LightGBM (BERT + top-20 stylometric),0.8420,0.8410,Deployment bundle model
